project_id,project_name,project_type,country,state,district,land_area,land_type,land_price_per_acre,number_of_owners,compensation_status,compensation_percentage,legal_disputes,land_possession_status,land_possession_percentage,rehabilitation_status,rehabilitation_percentage,risk_score,delay_probability,risk_category,latitude,longitude
LAP-0035,Eastern Solar Park Project 035,Solar Park,India,Tamil Nadu,Chengalpattu,591.36,Agricultural,2500000.00,1019,In Progress,82.71,1,Partially Possessed,92.00,In Progress,70.25,17.57,0.12,Low,12.530672,79.821162
LAP-0036,Eastern Airport Expansion Project 036,Airport Expansion,India,Bihar,Patna,63.05,Commercial,2500000.00,115,In Progress,50.70,6,Not Possessed,33.82,Not Started,20.75,87.78,0.82,High,25.553354,85.374089
LAP-0037,Bharat Metro Rail Project 037,Metro Rail,India,Tamil Nadu,Tiruchirappalli,182.52,Residential,2500000.00,301,In Progress,64.57,2,Partially Possessed,66.32,In Progress,76.57,44.28,0.38,Medium,10.549564,78.588932
LAP-0038,Eastern Metro Rail Project 038,Metro Rail,India,Karnataka,Mysuru,295.60,Residential,2500000.00,493,In Progress,61.55,5,Partially Possessed,57.39,In Progress,52.27,73.60,0.66,High,12.042820,76.534440
LAP-0039,River Logistics Park Project 039,Logistics Park,India,Uttar Pradesh,Gautam Buddha Nagar,248.85,Industrial,2500000.00,414,In Progress,35.84,3,Not Possessed,34.00,In Progress,41.05,77.57,0.69,High,28.358281,77.483186
LAP-0040,National Railway Corridor Project 040,Railway Corridor,India,Bihar,Gaya,136.29,Residential,2500000.00,225,In Progress,61.93,3,Partially Possessed,68.99,In Progress,85.84,51.53,0.42,Medium,24.778548,85.128892
LAP-0041,Deccan Solar Park Project 041,Solar Park,India,Tamil Nadu,Tiruchirappalli,148.55,Agricultural,2500000.00,252,In Progress,92.84,3,Partially Possessed,76.24,Completed,99.50,19.59,0.34,Low,10.835331,78.733862
LAP-0042,River National Highway Project 042,National Highway,India,Tamil Nadu,Tiruchirappalli,398.38,Agricultural,2500000.00,690,Completed,96.38,4,Partially Possessed,79.39,In Progress,88.95,32.40,0.55,Medium,10.777730,78.829311
LAP-0043,Deccan Industrial Corridor Project 043,Industrial Corridor,India,Karnataka,Belagavi,688.70,Industrial,2500000.00,1151,In Progress,46.80,1,Partially Possessed,81.99,In Progress,83.26,43.23,0.32,Medium,15.693288,74.582510
LAP-0044,National Irrigation Canal Project 044,Irrigation Canal,India,Karnataka,Mysuru,115.59,Agricultural,2500000.00,189,In Progress,51.94,5,Partially Possessed,58.29,In Progress,43.99,68.07,0.66,High,12.279090,76.716468
LAP-0045,Regional Logistics Park Project 045,Logistics Park,India,Madhya Pradesh,Dhar,355.75,Industrial,2500000.00,577,In Progress,37.04,3,Partially Possessed,42.56,Not Started,25.63,77.61,0.56,High,22.512668,75.188403
LAP-0046,Samriddhi Solar Park Project 046,Solar Park,India,Gujarat,Kutch,238.48,Agricultural,2500000.00,397,In Progress,61.69,2,Partially Possessed,66.06,In Progress,73.78,41.46,0.48,Medium,23.653052,69.851667
LAP-0047,River Logistics Park Project 047,Logistics Park,India,Rajasthan,Udaipur,192.48,Industrial,2500000.00,302,In Progress,60.51,10,Partially Possessed,59.05,In Progress,57.20,80.08,0.79,High,24.496270,73.726765
LAP-0048,Deccan Metro Rail Project 048,Metro Rail,India,Rajasthan,Kota,203.99,Residential,2500000.00,379,In Progress,64.73,1,Partially Possessed,75.67,In Progress,80.31,39.06,0.26,Medium,25.307251,75.851926
LAP-0049,Deccan Logistics Park Project 049,Logistics Park,India,Maharashtra,Pune,263.85,Industrial,2500000.00,455,In Progress,50.28,4,Partially Possessed,61.61,In Progress,66.31,55.85,0.44,Medium,18.524233,73.762663
LAP-0050,River Solar Park Project 050,Solar Park,India,Uttar Pradesh,Lucknow,132.03,Agricultural,2500000.00,254,In Progress,54.06,6,Partially Possessed,63.21,In Progress,52.70,65.03,0.66,High,27.035552,81.057788
LAP-0051,River Transmission Line Project 051,Transmission Line,India,Rajasthan,Udaipur,210.83,Barren,2500000.00,380,In Progress,60.75,4,Partially Possessed,48.68,In Progress,42.60,58.78,0.61,Medium,24.571867,73.679251
LAP-0052,Samriddhi Metro Rail Project 052,Metro Rail,India,Karnataka,Bengaluru Urban,238.28,Residential,2500000.00,381,In Progress,58.62,5,Partially Possessed,65.95,In Progress,36.32,62.23,0.75,High,13.078103,77.483854
LAP-0053,Coastal Railway Corridor Project 053,Railway Corridor,India,Tamil Nadu,Coimbatore,73.67,Residential,2500000.00,139,In Progress,87.24,1,Partially Possessed,64.24,In Progress,81.19,26.39,0.35,Low,10.993112,77.015878
LAP-0054,National Irrigation Canal Project 054,Irrigation Canal,India,Tamil Nadu,Coimbatore,187.65,Agricultural,2500000.00,308,In Progress,70.22,3,Partially Possessed,62.02,In Progress,65.34,38.93,0.48,Medium,10.959346,76.911284
LAP-0055,Eastern Metro Rail Project 055,Metro Rail,India,Bihar,Muzaffarpur,196.27,Residential,2500000.00,339,In Progress,73.11,1,Partially Possessed,83.29,In Progress,55.93,42.30,0.42,Medium,26.284513,85.376805
LAP-0056,Bharat Railway Corridor Project 056,Railway Corridor,India,Rajasthan,Kota,100.70,Residential,2500000.00,164,In Progress,76.91,1,Possessed,97.51,In Progress,86.04,22.68,0.25,Low,25.174117,76.001006
LAP-0057,Bharat Industrial Corridor Project 057,Industrial Corridor,India,Madhya Pradesh,Bhopal,254.11,Industrial,2500000.00,411,In Progress,64.93,3,Partially Possessed,56.76,In Progress,67.07,59.94,0.38,Medium,23.269093,77.506212
LAP-0058,Coastal Metro Rail Project 058,Metro Rail,India,Gujarat,Ahmedabad,729.04,Residential,2500000.00,1219,In Progress,81.49,4,Partially Possessed,73.56,In Progress,64.42,41.29,0.42,Medium,23.006661,72.621640
LAP-0059,Coastal Transmission Line Project 059,Transmission Line,India,Karnataka,Belagavi,96.34,Barren,2500000.00,162,Completed,100.00,1,Possessed,97.60,In Progress,82.58,23.54,0.30,Low,15.712479,74.663259
LAP-0060,Greenfield Solar Park Project 060,Solar Park,India,Rajasthan,Jaipur,182.83,Agricultural,2500000.00,349,In Progress,66.36,6,Partially Possessed,61.73,In Progress,74.68,44.84,0.51,Medium,26.945419,75.940756
LAP-0061,Regional Metro Rail Project 061,Metro Rail,India,Maharashtra,Pune,101.08,Residential,2500000.00,183,In Progress,42.74,5,Partially Possessed,38.95,In Progress,40.42,84.46,0.98,High,18.657088,73.705614
LAP-0062,Coastal National Highway Project 062,National Highway,India,Bihar,Patna,387.12,Agricultural,2500000.00,666,In Progress,89.27,3,Partially Possessed,77.55,In Progress,83.87,33.16,0.54,Medium,25.483142,85.111876
LAP-0063,Deccan Solar Park Project 063,Solar Park,India,Odisha,Sundargarh,155.48,Agricultural,2500000.00,278,In Progress,73.47,2,Partially Possessed,66.22,In Progress,43.25,47.37,0.49,Medium,21.990281,84.002859
LAP-0064,National National Highway Project 064,National Highway,India,Odisha,Khordha,133.00,Agricultural,2500000.00,241,In Progress,52.37,6,Partially Possessed,38.45,In Progress,58.28,64.92,0.53,High,20.321411,85.721961
LAP-0065,Bharat Railway Corridor Project 065,Railway Corridor,India,Bihar,Gaya,124.19,Residential,2500000.00,215,In Progress,68.89,1,Partially Possessed,68.52,In Progress,61.53,41.63,0.36,Medium,24.898792,85.013947
LAP-0066,Samriddhi Industrial Corridor Project 066,Industrial Corridor,India,Karnataka,Belagavi,109.33,Industrial,2500000.00,193,In Progress,66.43,5,Partially Possessed,70.29,In Progress,71.73,53.52,0.35,Medium,15.858502,74.255575
LAP-0067,Regional Transmission Line Project 067,Transmission Line,India,Telangana,Nalgonda,165.40,Barren,2500000.00,317,In Progress,66.39,1,Partially Possessed,53.59,In Progress,60.52,36.95,0.33,Medium,17.219002,79.328298
LAP-0068,Frontier Irrigation Canal Project 068,Irrigation Canal,India,Rajasthan,Kota,156.12,Agricultural,2500000.00,260,In Progress,68.95,4,Partially Possessed,77.93,In Progress,90.20,42.50,0.39,Medium,25.364143,75.987451
LAP-0069,River Logistics Park Project 069,Logistics Park,India,Karnataka,Bengaluru Urban,727.92,Industrial,2500000.00,1250,In Progress,90.87,1,Partially Possessed,84.39,In Progress,68.87,24.06,0.14,Low,12.940983,77.782096
LAP-0070,Frontier Railway Corridor Project 070,Railway Corridor,India,Telangana,Rangareddy,123.58,Residential,2500000.00,191,Not Started,34.68,7,Not Possessed,22.91,In Progress,39.85,98.20,0.94,High,17.306344,78.498887
LAP-0071,River Airport Expansion Project 071,Airport Expansion,India,Rajasthan,Jaipur,179.26,Commercial,2500000.00,311,Not Started,33.42,9,Not Possessed,34.68,In Progress,36.46,98.38,0.87,High,26.752538,75.789403
LAP-0072,Deccan Solar Park Project 072,Solar Park,India,Rajasthan,Udaipur,119.86,Agricultural,2500000.00,223,In Progress,60.01,4,Partially Possessed,54.20,In Progress,46.01,59.78,0.37,Medium,24.589307,73.741889
LAP-0073,River Irrigation Canal Project 073,Irrigation Canal,India,Gujarat,Ahmedabad,439.61,Agricultural,2500000.00,734,In Progress,62.90,6,Partially Possessed,59.20,In Progress,47.66,63.82,0.61,High,22.831724,72.208767
LAP-0074,Frontier Metro Rail Project 074,Metro Rail,India,Odisha,Kalahandi,252.26,Residential,2500000.00,393,In Progress,62.82,4,Partially Possessed,63.18,In Progress,61.22,60.10,0.69,High,19.874183,82.981602
LAP-0075,Deccan Industrial Corridor Project 075,Industrial Corridor,India,Bihar,Muzaffarpur,100.24,Industrial,2500000.00,166,In Progress,67.79,4,Partially Possessed,89.54,In Progress,86.44,48.22,0.49,Medium,26.077132,85.325931
LAP-0076,River Airport Expansion Project 076,Airport Expansion,India,Karnataka,Belagavi,49.80,Commercial,2500000.00,81,Not Started,22.79,6,Not Possessed,18.91,In Progress,35.37,88.43,0.83,High,15.793936,74.541648
LAP-0077,Deccan Solar Park Project 077,Solar Park,India,Telangana,Warangal,178.37,Agricultural,2500000.00,313,In Progress,52.22,4,Partially Possessed,50.33,In Progress,63.10,47.24,0.58,Medium,17.943071,79.377975
LAP-0078,Frontier Airport Expansion Project 078,Airport Expansion,India,Telangana,Rangareddy,335.52,Commercial,2500000.00,577,In Progress,55.69,6,Partially Possessed,68.07,In Progress,62.27,68.66,0.72,High,17.562266,78.456492
LAP-0079,National Solar Park Project 079,Solar Park,India,Gujarat,Ahmedabad,47.77,Agricultural,2500000.00,77,Not Started,24.98,15,Partially Possessed,39.46,In Progress,47.06,100.00,0.81,High,22.866060,72.636711
LAP-0080,Deccan Industrial Corridor Project 080,Industrial Corridor,India,Madhya Pradesh,Indore,181.63,Industrial,2500000.00,341,Completed,100.00,1,Possessed,100.00,In Progress,68.28,30.91,0.19,Medium,22.672328,75.792670
LAP-0081,Regional Irrigation Canal Project 081,Irrigation Canal,India,Gujarat,Ahmedabad,78.83,Agricultural,2500000.00,116,In Progress,54.17,11,Partially Possessed,52.97,In Progress,59.81,71.80,0.59,High,22.954242,72.628717
LAP-0082,Greenfield Transmission Line Project 082,Transmission Line,India,Gujarat,Surat,178.90,Barren,2500000.00,323,Not Started,29.81,6,Not Possessed,25.22,In Progress,57.56,77.68,0.82,High,21.120617,72.744643
LAP-0083,Eastern Railway Corridor Project 083,Railway Corridor,India,Maharashtra,Pune,122.93,Residential,2500000.00,212,In Progress,65.82,6,Partially Possessed,65.35,In Progress,84.89,61.54,0.44,High,18.630572,73.883249
LAP-0084,Eastern Irrigation Canal Project 084,Irrigation Canal,India,Odisha,Kalahandi,250.65,Agricultural,2500000.00,414,In Progress,55.91,1,Partially Possessed,59.79,In Progress,68.62,32.57,0.45,Medium,19.945872,83.131285
LAP-0085,River Airport Expansion Project 085,Airport Expansion,India,Rajasthan,Udaipur,130.30,Commercial,2500000.00,204,In Progress,68.33,7,Partially Possessed,74.15,In Progress,88.65,68.85,0.70,High,24.487989,73.794625
LAP-0086,National Airport Expansion Project 086,Airport Expansion,India,Maharashtra,Pune,632.52,Commercial,2500000.00,1062,In Progress,66.18,3,Partially Possessed,38.42,In Progress,60.14,59.23,0.42,Medium,18.651712,73.894324
LAP-0087,Deccan Solar Park Project 087,Solar Park,India,Uttar Pradesh,Gautam Buddha Nagar,116.88,Agricultural,2500000.00,182,In Progress,71.66,0,Partially Possessed,75.18,In Progress,70.52,21.05,0.19,Low,28.545305,77.416384
LAP-0088,Coastal Transmission Line Project 088,Transmission Line,India,Rajasthan,Jaipur,272.20,Barren,2500000.00,479,In Progress,69.19,3,Partially Possessed,64.65,In Progress,65.94,41.00,0.29,Medium,26.994771,75.792499
LAP-0089,Eastern National Highway Project 089,National Highway,India,Madhya Pradesh,Dhar,329.03,Agricultural,2500000.00,536,In Progress,64.90,3,Partially Possessed,65.41,In Progress,62.57,40.86,0.34,Medium,22.489848,75.289828
LAP-0090,Deccan Airport Expansion Project 090,Airport Expansion,India,Rajasthan,Jaipur,179.59,Commercial,2500000.00,304,In Progress,78.80,0,Partially Possessed,79.74,In Progress,42.44,30.77,0.45,Medium,26.831893,75.610646
LAP-0091,Samriddhi Irrigation Canal Project 091,Irrigation Canal,India,Madhya Pradesh,Indore,193.92,Agricultural,2500000.00,335,In Progress,35.02,6,Partially Possessed,50.34,In Progress,44.04,70.01,0.62,High,22.780939,75.690465
LAP-0092,River Industrial Corridor Project 092,Industrial Corridor,India,Madhya Pradesh,Bhopal,37.37,Industrial,2500000.00,62,In Progress,53.28,3,Partially Possessed,55.89,In Progress,89.41,56.79,0.48,Medium,23.269473,77.342350
LAP-0093,Bharat Metro Rail Project 093,Metro Rail,India,Uttar Pradesh,Lucknow,205.43,Residential,2500000.00,341,In Progress,62.80,1,Partially Possessed,73.67,In Progress,75.58,36.81,0.59,Medium,26.978043,80.862584
LAP-0094,Bharat Logistics Park Project 094,Logistics Park,India,Tamil Nadu,Coimbatore,211.25,Industrial,2500000.00,371,In Progress,59.79,2,Partially Possessed,67.63,In Progress,62.09,43.85,0.41,Medium,10.924490,77.094549
LAP-0095,Eastern Railway Corridor Project 095,Railway Corridor,India,Karnataka,Bengaluru Urban,42.18,Residential,2500000.00,78,In Progress,72.07,8,Partially Possessed,54.02,In Progress,63.07,64.99,0.51,High,12.936317,77.724325
LAP-0096,Greenfield Railway Corridor Project 096,Railway Corridor,India,Rajasthan,Kota,1531.96,Residential,2500000.00,2565,In Progress,65.52,3,Partially Possessed,73.61,In Progress,79.75,39.32,0.32,Medium,25.299442,76.019826
LAP-0097,Eastern Airport Expansion Project 097,Airport Expansion,India,Gujarat,Ahmedabad,98.07,Commercial,2500000.00,166,In Progress,85.06,2,Partially Possessed,75.49,In Progress,59.99,38.97,0.40,Medium,23.272711,72.646431
LAP-0098,Frontier Transmission Line Project 098,Transmission Line,India,Odisha,Khordha,124.29,Barren,2500000.00,194,In Progress,59.51,4,Partially Possessed,51.36,In Progress,49.37,51.99,0.50,Medium,20.425268,85.712437
LAP-0099,Deccan Solar Park Project 099,Solar Park,India,Telangana,Warangal,249.44,Agricultural,2500000.00,403,In Progress,61.06,4,Partially Possessed,46.73,In Progress,45.55,56.15,0.49,Medium,18.052118,79.724051
LAP-0100,River Transmission Line Project 100,Transmission Line,India,Gujarat,Surat,75.27,Barren,2500000.00,140,In Progress,65.88,4,Partially Possessed,71.74,In Progress,83.72,53.54,0.41,Medium,21.376240,72.947738
LAP-0101,Bharat Irrigation Canal Project 101,Irrigation Canal,India,Maharashtra,Nagpur,51.07,Agricultural,2500000.00,80,In Progress,78.18,4,Partially Possessed,76.52,In Progress,69.49,38.74,0.30,Medium,21.086832,79.191735
LAP-0102,Bharat Solar Park Project 102,Solar Park,India,Karnataka,Bengaluru Urban,120.08,Agricultural,2500000.00,223,In Progress,85.12,1,Partially Possessed,76.22,In Progress,90.41,15.77,0.16,Low,13.086999,77.335387
LAP-0103,Bharat Industrial Corridor Project 103,Industrial Corridor,India,Rajasthan,Jaipur,481.44,Industrial,2500000.00,817,In Progress,90.64,2,Partially Possessed,87.99,In Progress,72.57,32.29,0.26,Medium,26.781334,75.559106
LAP-0104,National Industrial Corridor Project 104,Industrial Corridor,India,Bihar,Patna,87.20,Industrial,2500000.00,146,In Progress,36.23,6,Not Possessed,32.08,In Progress,39.50,89.79,0.68,High,25.614857,85.164366
LAP-0105,National Metro Rail Project 105,Metro Rail,India,Bihar,Patna,329.58,Residential,2500000.00,593,In Progress,59.99,11,Partially Possessed,40.02,Not Started,25.53,100.00,0.93,High,25.851573,85.085945
LAP-0106,Greenfield Airport Expansion Project 106,Airport Expansion,India,Odisha,Sundargarh,207.52,Commercial,2500000.00,338,In Progress,68.57,7,Partially Possessed,56.43,In Progress,55.90,72.70,0.71,High,21.996164,84.027413
LAP-0107,River National Highway Project 107,National Highway,India,Gujarat,Surat,382.35,Agricultural,2500000.00,658,In Progress,91.33,3,Partially Possessed,75.89,In Progress,93.50,28.50,0.23,Low,21.235863,72.717711
LAP-0108,Deccan National Highway Project 108,National Highway,India,Madhya Pradesh,Indore,364.19,Agricultural,2500000.00,617,Completed,95.27,0,Possessed,97.64,In Progress,82.32,13.29,0.27,Low,22.748179,75.736556
LAP-0109,Samriddhi Transmission Line Project 109,Transmission Line,India,Gujarat,Kutch,468.07,Barren,2500000.00,798,In Progress,69.54,6,Partially Possessed,60.48,In Progress,61.96,54.08,0.58,Medium,23.835342,69.963772
LAP-0110,Eastern National Highway Project 110,National Highway,India,Telangana,Nalgonda,638.30,Agricultural,2500000.00,1114,In Progress,78.53,1,Partially Possessed,79.75,In Progress,44.39,31.09,0.17,Medium,16.978939,79.515820
LAP-0111,River Logistics Park Project 111,Logistics Park,India,Uttar Pradesh,Gautam Buddha Nagar,474.66,Industrial,2500000.00,813,In Progress,66.83,6,Partially Possessed,58.79,In Progress,75.87,56.81,0.49,Medium,28.467946,77.292668
LAP-0112,Deccan National Highway Project 112,National Highway,India,Gujarat,Surat,144.87,Agricultural,2500000.00,262,In Progress,85.82,2,Partially Possessed,88.70,In Progress,79.34,27.13,0.39,Low,21.217566,72.920867
LAP-0113,Coastal Logistics Park Project 113,Logistics Park,India,Karnataka,Belagavi,527.24,Industrial,2500000.00,926,Completed,97.05,0,Partially Possessed,94.49,Completed,100.00,22.09,0.27,Low,15.759297,74.485766
LAP-0114,Regional Solar Park Project 114,Solar Park,India,Madhya Pradesh,Indore,320.36,Agricultural,2500000.00,508,In Progress,37.84,2,Partially Possessed,48.78,In Progress,51.13,46.87,0.49,Medium,22.810797,75.937230
LAP-0115,National Railway Corridor Project 115,Railway Corridor,India,Rajasthan,Jaipur,39.02,Residential,2500000.00,58,In Progress,56.49,7,Partially Possessed,38.10,Not Started,19.98,79.26,0.83,High,26.925515,76.070378
LAP-0116,Bharat Solar Park Project 116,Solar Park,India,Karnataka,Belagavi,171.74,Agricultural,2500000.00,307,In Progress,90.77,2,Partially Possessed,73.59,Completed,98.47,21.11,0.27,Low,15.916519,74.367481
LAP-0117,Greenfield Airport Expansion Project 117,Airport Expansion,India,Gujarat,Surat,291.62,Commercial,2500000.00,539,In Progress,54.74,3,Partially Possessed,52.45,In Progress,55.54,57.75,0.54,Medium,21.400910,72.872376
LAP-0118,Greenfield National Highway Project 118,National Highway,India,Tamil Nadu,Coimbatore,195.04,Agricultural,2500000.00,353,In Progress,50.91,4,Partially Possessed,77.81,In Progress,53.95,56.26,0.53,Medium,10.955290,76.820075
LAP-0119,Deccan Airport Expansion Project 119,Airport Expansion,India,Maharashtra,Nagpur,400.64,Commercial,2500000.00,675,In Progress,65.87,4,Partially Possessed,50.93,In Progress,65.12,57.99,0.69,Medium,20.940218,79.021323
LAP-0120,Bharat National Highway Project 120,National Highway,India,Karnataka,Belagavi,201.30,Agricultural,2500000.00,343,In Progress,80.70,3,Partially Possessed,78.42,Completed,96.85,37.46,0.31,Medium,15.963310,74.309474
